Date,Sigma
2012-02-21,0.007269835743848821
2012-02-22,0.0070435135657024705
2012-02-23,0.00688546568307789
2012-02-24,0.00677446620352135
2012-02-27,0.0065859684891413
2012-02-28,0.00640214249333329
2012-02-29,0.0062830180496790105
2012-03-01,0.00623796860942171
2012-03-02,0.00628482352754055
2012-03-05,0.00616916727449687
2012-03-06,0.0060876129748679295
2012-03-07,0.00724987698683001
2012-03-08,0.00726359451137075
2012-03-09,0.00751396955279936
2012-03-12,0.0073385238291639
2012-03-13,0.00710623094813501
2012-03-14,0.00842532559436403
2012-03-15,0.00814657931007508
2012-03-16,0.00803715782773603
2012-03-19,0.00777644361826703
2012-03-20,0.00759843956685584
2012-03-21,0.007397882571909509
2012-03-22,0.0071803717578869
2012-03-23,0.00722518817209486
2012-03-26,0.00704849497241963
2012-03-27,0.0077834135729955
2012-03-28,0.00756691985676318
2012-03-29,0.00744422262994193
2012-03-30,0.00721896167297215
2012-04-02,0.00706284868193119
2012-04-03,0.0071365752609961
2012-04-04,0.00699768821311959
2012-04-05,0.00732791186062009
2012-04-09,0.00709732691163604
2012-04-10,0.00753968014164203
2012-04-11,0.008659914805973409
2012-04-12,0.00860058983847856
2012-04-13,0.00909492748688318
2012-04-16,0.00941214230729092
2012-04-17,0.00908065117088213
2012-04-18,0.00970097057237787
2012-04-19,0.009419563868737671
2012-04-20,0.00922846684682211
2012-04-23,0.00891010809883912
2012-04-24,0.00889955273672231
2012-04-25,0.00864832364329449
2012-04-26,0.00912193633417279
2012-04-27,0.00898555951578426
2012-04-30,0.00869747226117654
2012-05-01,0.00846422521833769
2012-05-02,0.00831450656929268
2012-05-03,0.0080622995735435
2012-05-04,0.0080665914880003
2012-05-07,0.00895548124072202
2012-05-08,0.0086448732803279
2012-05-09,0.00842864610927699
2012-05-10,0.008343285535569941
2012-05-11,0.00808992374094923
2012-05-14,0.00787383631771735
2012-05-15,0.008192712945175309
2012-05-16,0.00806995143273397
2012-05-17,0.00789198313017888
2012-05-18,0.0086646418031136
2012-05-21,0.0086043627520272
2012-05-22,0.009358108114088359
2012-05-23,0.009029069219468009
2012-05-24,0.008726492714693841
2012-05-25,0.008434446840332321
2012-05-29,0.008169147648154459
2012-05-30,0.00843937392577751
2012-05-31,0.00904007917384108
2012-06-01,0.00874672789174605
2012-06-04,0.0108113020443143
2012-06-05,0.010414707429836
2012-06-06,0.0101542550142205
2012-06-07,0.0115875276966805
2012-06-08,0.0111540214305963
2012-06-11,0.0109616083339544
2012-06-12,0.0111046366794867
2012-06-13,0.0111452722064003
2012-06-14,0.0109007464187977
2012-06-15,0.0108964356547408
2012-06-18,0.0108588606431949
2012-06-19,0.0104655723458744
2012-06-20,0.0104254492256383
2012-06-21,0.0100550352125781
2012-06-22,0.0114560124992771
2012-06-25,0.0111976989694773
2012-06-26,0.0116315382608822
2012-06-27,0.0112703197202998
2012-06-28,0.0111192106090389
2012-06-29,0.0107221100380376
2012-07-02,0.0122993839635703
2012-07-03,0.0118527660225872
2012-07-05,0.0115312284528493
2012-07-06,0.0111731795666962
2012-07-09,0.0110614255850304
2012-07-10,0.0106609063820129
2012-07-11,0.0105052497562428
2012-07-12,0.0101207487981546
2012-07-13,0.00984543146196532
2012-07-16,0.0104719617297709
2012-07-17,0.0101111818566163
2012-07-18,0.00994926327220765
2012-07-19,0.00976003030635882
2012-07-20,0.009440900044213909
2012-07-23,0.00950870052785752
2012-07-24,0.00948575214302617
2012-07-25,0.00947383503978147
2012-07-26,0.00913984332387721
2012-07-27,0.00987122128207008
2012-07-30,0.0108008251017526
2012-07-31,0.0104066019666205
2012-08-01,0.0100972311691886
2012-08-02,0.00976568887934591
2012-08-03,0.009634989075898591
2012-08-06,0.0105976282119792
2012-08-07,0.0102310825864707
2012-08-08,0.00995736595943015
2012-08-09,0.00960214434791573
2012-08-10,0.00926249065575293
2012-08-13,0.00895741341351159
2012-08-14,0.00865376133002887
2012-08-15,0.00835791285442428
2012-08-16,0.0080819616256761
2012-08-17,0.00804188055338923
2012-08-20,0.00779155506174106
2012-08-21,0.0075370458718290005
2012-08-22,0.00735621348341944
2012-08-23,0.007123515933445709
2012-08-24,0.0072411354483779295
2012-08-27,0.00722604407199047
2012-08-28,0.00700086110147525
2012-08-29,0.00678934732765599
2012-08-30,0.00658910517939916
2012-08-31,0.00673650114868931
2012-09-04,0.00667646672792716
2012-09-05,0.0064857802076645
2012-09-06,0.00630400333496881
2012-09-07,0.00820831566610455
2012-09-10,0.008008305321500259
2012-09-11,0.007920351743491559
2012-09-12,0.0077060607154077
2012-09-13,0.0074771012026697906
2012-09-14,0.00845497830951446
2012-09-17,0.00823778541610592
2012-09-18,0.008006341140490609
2012-09-19,0.007749069637491591
2012-09-20,0.0075034708146786595
2012-09-21,0.00726464186517002
2012-09-24,0.0070445967041098
2012-09-25,0.00685590742711238
2012-09-26,0.007229925192405171
2012-09-27,0.007174116419380879
2012-09-28,0.00741579036037454
2012-10-01,0.00728281291489533
2012-10-02,0.007091680263132509
2012-10-03,0.00687827625373092
2012-10-04,0.00674204347335494
2012-10-05,0.00681837248943662
2012-10-08,0.00661531510204104
2012-10-09,0.00648909408945434
2012-10-10,0.00684477889318978
2012-10-11,0.0068460242561621
2012-10-12,0.00664120686103151
2012-10-15,0.0064958379063243
2012-10-16,0.00666874382927696
2012-10-17,0.00703073755678677
2012-10-18,0.0069051861101256
2012-10-19,0.00672934506673414
2012-10-22,0.00792445608579653
2012-10-23,0.007667156802036709
2012-10-24,0.00838777405716162
2012-10-25,0.00814986125587192
